ts_code,trade_date,close,open,high,low,pre_close,change,pct_chg,vol,amount
000001.SH,20190412,3188.6256,3184.8595,3199.278,3168.0421,3189.9619,-1.3363,-0.0419,289788996.0,288908971.2
000001.SH,20190411,3189.9619,3241.5474,3254.1259,3185.546,3241.9299,-51.968,-1.603,353031879.0,360684555.9
000001.SH,20190410,3241.9299,3224.6454,3264.7778,3204.8785,3239.6639,2.266,0.0699,380134408.0,395669974.9
000001.SH,20190409,3239.6639,3240.3938,3251.6458,3215.7048,3244.8103,-5.1464,-0.1586,364169997.0,380272975.9
000001.SH,20190408,3244.8103,3271.2722,3288.4531,3210.5151,3246.5714,-1.7611,-0.0542,504518403.0,506431236.8
000001.SH,20190404,3246.5714,3233.6886,3254.1401,3216.8545,3216.2952,30.2762,0.9413,469117669.0,475156382.1
000001.SH,20190403,3216.2952,3159.1468,3219.2564,3152.3319,3176.8227,39.4725,1.2425,430548635.0,442622041.0
000001.SH,20190402,3176.8227,3183.2736,3193.2717,3164.9066,3170.361,6.4617,0.2038,447068981.0,462662081.8
000001.SH,20190401,3170.361,3111.6619,3176.6221,3111.6619,3090.758,79.603,2.5755,466124693.0,480085938.4
000001.SH,20190329,3090.758,3000.6783,3093.0329,2999.9866,2994.9434,95.8146,3.1992,375082991.0,386699608.7
000001.SH,20190328,2994.9434,3009.7988,3025.7789,2991.7789,3022.7196,-27.7762,-0.9189,288106425.0,289554565.5
000001.SH,20190327,3022.7196,3012.2573,3022.7623,2987.7717,2997.0954,25.6242,0.855,291390357.0,295075954.8
000001.SH,20190326,2997.0954,3057.559,3062.6896,2988.4905,3043.0313,-45.9359,-1.5095,353498021.0,341444826.6
000001.SH,20190325,3043.0313,3058.8016,3086.9961,3041.9504,3104.1487,-61.1174,-1.9689,380278762.0,375375662.8
000001.SH,20190322,3104.1487,3100.7264,3107.2754,3064.884,3101.455,2.6937,0.0869,364848346.0,356678335.0
000001.SH,20190321,3101.455,3094.1247,3125.0192,3086.85,3090.6403,10.8147,0.3499,414251182.0,403939834.7
